ball_x,ball_y,speed_x,speed_y,time_to_hit,pred_x,my_x,blocker_x,blocker_y,action
172,248,-9,-9,999,100,75,15,240,MOVE_RIGHT
172,248,-9,-9,18.666666666666668,4.0,0,15,240,MOVE_LEFT
163,239,-9,-9,17.666666666666668,4.0,0,10,240,MOVE_LEFT
163,239,-9,-9,999,100,70,10,240,MOVE_RIGHT
154,230,-9,-9,16.666666666666668,4.0,0,5,240,MOVE_LEFT
154,230,-9,-9,999,100,70,5,240,MOVE_RIGHT
145,221,-9,-9,999,100,70,0,240,MOVE_RIGHT
0,MOVE_LEFT
136,212,-9,-9,14.666666666666666,4.0,0,5,240,MOVE_LEFT
136,212,-9,-9,999,100,75,5,240,MOVE_RIGHT
127,203,-9,-9,13.666666666666666,4.0,0,10,240,MOVE_LEFT
118,194,-9,-9,999,100,75,15,240,MOVE_RIGHT
118,194,-9,-9,12.666666666666666,4.0,0,15,240,MOVE_LEFT
109,185,-9,-9,11.666666666666666,4.0,0,20,240,MOVE_LEFT
109,185,-9,-9,999,100,80,20,240,NONE
100,176,-9,-9,10.666666666666666,4.0,0,25,240,MOVE_LEFT
91,167,-9,-9,9.666666666666666,4.0,0,30,240,MOVE_LEFT
91,167,-9,-9,999,100,80,30,240,NONE
82,158,-9,-9,8.666666666666666,4.0,0,35,240,MOVE_LEFT
82,158,-9,-9,999,100,85,35,240,MOVE_LEFT
73,149,-9,-9,999,100,80,40,240,NONE
40,240,MOVE_LEFT
64,140,-9,-9,999,100,80,45,240,NONE
45,240,MOVE_LEFT
55,131,-9,-9,999,100,85,50,240,MOVE_LEFT
55,131,-9,-9,5.666666666666667,4.0,0,50,240,MOVE_LEFT
46,122,-9,-9,999,100,85,55,240,MOVE_LEFT
46,122,-9,-9,4.666666666666667,4.0,0,55,240,MOVE_LEFT
37,113,-9,-9,999,100,80,60,240,NONE
,60,240,MOVE_LEFT
28,104,-9,-9,2.6666666666666665,4.0,0,65,240,MOVE_LEFT
28,104,-9,-9,999,100,80,65,240,NONE
19,95,-9,-9,999,100,85,70,240,MOVE_LEFT
19,95,-9,-9,1.6666666666666667,4.0,0,70,240,MOVE_LEFT
10,86,-9,-9,999,100,90,75,240,MOVE_LEFT
10,86,-9,-9,0.6666666666666666,4.0,0,75,240,MOVE_LEFT
1,80,-9,-6,0.0,1.0,0,80,240,MOVE_LEFT
1,80,-9,-6,999,100,90,80,240,MOVE_LEFT
0,89,-1,9,999,100,0,85,240,MOVE_RIGHT
777778,85,85,240,MOVE_LEFT
9,98,9,9,999,100,5,90,240,MOVE_RIGHT
